_id,OBJECTID,AGENCY_NAME,ORGANIZATION_ADDRESS,NEIGHBOURHOOD,OFFICE_PHONE,EMAIL,WEBSITE,ELIGIBILITY,DESCRIPTION_SERVICE,APPLICATION,LANGUAGES,ACCESSIBILITY,HOURS,LEGAL_STATUS,DATE_UPDATED,ADDRESS_POINT_ID,X,Y,LONGITUDE,LATITUDE,ADDRESS_FULL,MUNICIPALITY,POSTAL_CODE,geometry
24,1294,"University Health Network, Toronto Western Hospital","399 Bathurst St, Toronto, ON     M5T 2S8","Trinity-Bellwoods, 81",Switchboard 416-603-5800 * Patient Inquiry 416-603-5801,,"<a href=""http://www.uhn.ca"" target=""_blank"">www.uhn.ca</a>",,"Acute care hospital<br><br>
Areas of focus -- neural and sensory sciences * community and population health * musculoskeletal health and arthritis <br><br>
Artists health centre * asthma * cardiac and pulmonary rehab * Diabetes Education Centre * eye clinic * memory clinic * movement disorders clinic * sleep clinic * stroke clinic * Tourette's Clinic * tuberculosis clinic <br><br>
<b>Mental Health and Addictions Programs</b> -- addictions outpatient assessment, counselling and aftercare * acupuncture for addictions * withdrawal management (see separate listings) * psychiatric assessment and treatment * brief psychotherapy * urgent care assessment clinic * family support in Spanish, Italian and Portuguese * Asian Initiative in Mental Health (see separate listing) * Portuguese Mental Health and Addiction Services (see separate listing)",,English ; professional interpreters for physician-patient encounters * interpretation services 416-603-6400,Wheelchair accessible building including main entrance and barrier free washrooms * designated parking,Mon-Sun 24 hours,(50) Non Profit ; (51) Registered Charity,2014-01-31T05:00:00,9086232,,,,,399 Bathurst St,former Toronto,M5T 2S8,"{u'type': u'Point', u'coordinates': (-79.405688479, 43.6530947912)}"
25,1295,St Michael's Hospital,"Maxwell Meighen Centre, 135 Sherbourne St, 3rd Fl, Toronto, ON     M5A 2R5","Moss Park, 73",,,"<a href=""http://www.stmichaelshospital.com"" target=""_blank"">www.stmichaelshospital.com</a>","Residential program -- men 16 years and older in a state of intoxication, withdrawal from a substance or in crisis regarding their substance use * Community and Day Withdrawal Management -- men and women 16 years and older who are in withdrawal or in crisis regarding their substance use","Alcohol and drug detoxification * crisis care * assessment, referral and treatment planning * case management<br><br>

<b>Residential Program</b> -- capacity 17 * assessment * symptom management * counselling * referral to other services<br><br>

<b>Community Withdrawal Management</b> -- assessment, referral, treatment planning, education<br><br>

<b>Day Withdrawal Management Service</b> -- 3 week program * group sessions * life skills * mood management * post acute withdrawal issues <br><br>

<b>Anchor Person Project</b> -- helps to set and meet realistic personal goals * case management including advocacy with law enforcement, courts and social service agencies * certified alcohol and drug addiction counsellors * peer support * life skills * facilitates assessment tools as required by Ministry of Health for access to addiction programs",Call 1-866-366-9513 Central Access,English,Not wheelchair accessible,,(50) Non Profit,2013-10-17T04:00:00,8771348,,,,,135 Sherbourne St,former Toronto,M5A 2R5,"{u'type': u'Point', u'coordinates': (-79.3691256177, 43.6552348474)}"
26,1296,St Michael's Hospital,"140 The Esplanade, Unit 3, Toronto, ON     M5A 4P5","Waterfront Communities-The Island, 77",Registered patients 416-864-6000 ; New patients intake 416-864-3076,,"<a href=""http://www.stmichaelshospital.com"" target=""_blank"">www.stmichaelshospital.com</a>",,General family medicine * nursing * social work * HIV care * prenatal and postnatal care * family practice-based obstetrics * addictions * diet and nutrition * pharmacist,By appointment,English ; Interpretive services,Wheelchair accessible building including main entrance and barrier free washrooms,"Mon, Wed-Fri 8 am-5 pm, Tue 8 am-8 pm * doctor on call 24 hours",(50) Non Profit,2015-09-24T04:00:00,8351283,,,,,140 The Esplanade,former Toronto,M5A 4P5,"{u'type': u'Point', u'coordinates': (-79.3702534366, 43.6485484393)}"
27,1297,"University Health Network, Toronto Western Hospital","16 Ossington Ave, Toronto, ON     M6J 2Y7","Trinity-Bellwoods, 81",,,"<a href=""http://www.uhn.ca"" target=""_blank"">www.uhn.ca</a>","Men 16 years and older * must be mobile, conscious, intoxicated or in withdrawal, no medical complications",Nonmedical alcohol and drug detoxification and informal counselling,Call Central Access 1-866-366-9513,English,Not Accessible ; Parking lot beside building,Mon-Sun 24 hours,(50) Non Profit ; (51) Registered Charity,2014-02-03T05:00:00,7570976,,,,,16 Ossington Ave,former Toronto,M6J 2Y7,"{u'type': u'Point', u'coordinates': (-79.4193260748, 43.6446229203)}"
28,1298,YMCA of Greater Toronto,"Vanauley Street YMCA, 7 Vanauley St, Toronto, ON     M5T 2V9","Kensington-Chinatown, 78",416-603-6366 ext 5,,"<a href=""http://www.ymcagta.org"" target=""_blank"">www.ymcagta.org</a>","Youth and young adults 14-24 years who use/abuse alcohol or other substances, including nicotine","Non-residential treatment program * assessment, individual counselling, crisis intervention, educational presentations, referral * outreach counselling * no emergency services * available at various YMCA locations",,English ; Interpreters may be available for other languages,Wheelchair accessible automatic main entrance ; Easy access to elevator ; Barrier-free washroom including door and stall ; Street parking,Mon-Fri 9 am-5 pm * evening appointments available,(50) Non Profit ; (51) Registered Charity,2016-02-04T05:00:00,8030875,,,,,7 Vanauley St,former Toronto,M5T 2V9,"{u'type': u'Point', u'coordinates': (-79.3983082591, 43.6488251682)}"
29,1304,Centre for Addiction and Mental Health,"The Carlos Fidani Family Building, 60 White Squirrel Way, 2nd Fl, Toronto, ON     M6J 1H4","Niagara, 82",Intake 416-535-8501 ext 33985,,"<a href=""http://www.camh.ca"" target=""_blank"">www.camh.ca</a>","Aboriginal individuals 16 years and older, who are experiencing homelessness, substance use and mental health issues","Assessment and referrals * individual, couple and family counselling * cultural consultation and support * talking circles and group work * inpatient and outpatient treatment programs * traditional and Western healing interventions * training, consultation and capacity building",No referral required * call for information,English ; Access to trained interpreters available for French and other languages,Designated parking at entrance ; Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall,Office -- Mon-Fri 8:30 am-4:30 pm,(50) Non Profit ; (51) Registered Charity,2015-04-16T04:00:00,20232089,,,,,60 White Squirrel Way,former Toronto,M6J 1H4,"{u'type': u'Point', u'coordinates': (-79.4211704645, 43.6430804988)}"
30,1299,Toronto East General Hospital,"985 Danforth Ave, Toronto, ON     M4J 1M1","Blake-Jones, 69",Information 416-461-2010,dosmi@tegh.on.ca,"<a href=""http://www.tegh.on.ca"" target=""_blank"">www.tegh.on.ca</a>","<b>Residential program </b>-- men 16 years and older in a state of intoxication, withdrawal from a substance or in crisis regarding their substance use * <b>Community Withdrawal Management </b>-- men and women 16 years and older who are under the influence of a substance and/or in withdrawal or in crisis regarding their substance use * <b>Day Withdrawal Management</b> -- men and women 16 years and older who are already abstaining or in withdrawal","Alcohol and drug detoxification * crisis care * assessment, referral and treatment planning * case management * psychosocial education and pre-treatment * continuing care * family support group<br> <br> 

<b>Residential Program</b> -- capacity 30 * assessment * symptom management * counselling * referral to other services<br> <br> 

<b>Community Withdrawal Management</b> -- alcohol and drug withdrawal management including visits into the community * assessment, referral and treatment planning * family education<br> <br> 

<b>Day Withdrawal Management Service</b> -- 3 week program * group sessions * life skills * mood management * post acute withdrawal issues * acupuncture  <br><br>

<b>Aboriginal Day Withdrawal Program</b> -- culturally appropriate treatment",<b>Residential program </b>-- Central Access 1-866-366-9513 * <b>Community and Day Withdrawal Management</b> -- 416-461-2010 * <b>Aboriginal Day Withdrawal Management</b> -- 416-923-0800,English,Wheelchair accessible -- call for details,Mon-Sun 24 hours * Day Withdrawal Management Service -- Mon-Fri 9:30 am-3:30 pm,(50) Non Profit ; (51) Registered Charity,2014-01-28T05:00:00,7939808,,,,,985 Danforth Ave,former Toronto,M4J 1M1,"{u'type': u'Point', u'coordinates': (-79.3371457437, 43.6802287347)}"
31,1300,Anishnawbe Health Toronto,"22 Vaughan Rd, Toronto, ON     M6G 2N1","Wychwood, 94",416-657-0379,info@aht.ca,"<a href=""http://www.aht.ca"" target=""_blank"">www.aht.ca</a>",Aboriginal ancestry,Mental health and addiction services based on Aboriginal culture and traditions * 20-week day program * assessment * counselling * support groups,Call or drop in * no referral required,English ; some Aboriginal languages,"Wheelchair accessible automatic main entrance ; Wheelchair accessible washroom, assistance needed with door ; Limited street parking",Mon-Fri 9 am-5 pm * Intake Mon-Fri 9 am-4 pm * Mental Health Crisis Line -- Mon-Sun 24 hours,(50) Non Profit ; (51) Registered Charity,2015-05-20T04:00:00,10636567,,,,,22 Vaughan Rd,former Toronto,M6G 2N1,"{u'type': u'Point', u'coordinates': (-79.4184948112, 43.6816720199)}"
32,1301,Centre for Addiction and Mental Health,"The Carlos Fidani Family Building, 60 White Squirrel Way, 4th Fl, Toronto, ON     M6J 1H4","Niagara, 82",Access CAMH (Intake Assessment) 416-535-8501 ext 2,,"<a href=""http://www.camh.ca"" target=""_blank"">www.camh.ca</a>","Lesbian, gay, bisexual, transgender, transsexual, and intersex individuals 18 years and older, who are interested in quitting, cutting down, or gaining more awareness about their use of drugs and/or alcohol * open to both local and out-of-town clients","Assessment and referrals * confidential counselling * individual and group therapy * day and residential programs * weekly support groups -- single gender (lesbian and bisexual women only, or gay and bisexual men only) or co-ed * support for families and/or partners * couple counselling * relapse prevention * education including stress management, nutrition, recreation * concurrent disorder program including psychiatric consultation",No referral necessary but assessment required -- call Access CAMH * existing clients call 416-535-8501 ext 34430,English ; Access to trained interpreters available for French and other languages,Designated parking at entrance ; Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall,Mon-Fri 9 am-5 pm * evening groups available,(50) Non Profit ; (51) Registered Charity,2015-02-25T05:00:00,20232089,,,,,60 White Squirrel Way,former Toronto,M6J 1H4,"{u'type': u'Point', u'coordinates': (-79.4211704645, 43.6430804988)}"
33,1302,St Michael's Hospital,"410 Sherbourne St, Ground Fl, Toronto, ON     M4X 1K2","Cabbagetown-South St James Town, 71",Registered patients 416-864-3096 ; New patients intake 416-864-3076,,"<a href=""http://www.stmichaelshospital.com"" target=""_blank"">www.stmichaelshospital.com</a>",,General family medicine * nursing * social work * HIV care * prenatal and postnatal care * family practice-based obstetrics * addictions * diet and nutrition * pharmacist,By appointment,English ; Interpretive services,Wheelchair accessible building including main entrance and barrier free washrooms,"Mon-Wed, Fri 9 am-5 pm; Thu 9 am-8 pm, Sat 9 am-4 pm * doctor on call 24 hours",(50) Non Profit,2015-09-24T04:00:00,10923472,,,,,410 Sherbourne St,former Toronto,M4X 1K2,"{u'type': u'Point', u'coordinates': (-79.374195226, 43.664716354)}"
34,1303,St Michael's Hospital,"80 Bond St, Toronto, ON     M5B 1X2","Church-Yonge Corridor, 75",Registered patients 416-864-3011 ; New patients intake 416-864-3076,,"<a href=""http://www.stmichaelshospital.com"" target=""_blank"">www.stmichaelshospital.com</a>",,General family medicine * nursing * social work * HIV care * prenatal and postnatal care * family practice-based obstetrics * addictions * diet and nutrition * pharmacist,By appointment,English ; Interpretive services,Wheelchair accessible building including main entrance and barrier free washrooms,"Mon 8 am-8 pm, Tue-Fri 8 am-5 pm",(50) Non Profit,2015-09-24T04:00:00,14210740,,,,,80 Bond St,former Toronto,M5B 1X2,"{u'type': u'Point', u'coordinates': (-79.3783294795, 43.6555924033)}"
35,1305,Centre for Addiction and Mental Health,"The Carlos Fidani Family Building, 60 White Squirrel Way, 3rd Fl, Toronto, ON     M6J 1H4","Niagara, 82",Access CAMH (Intake Assessment) 416-535-8501 ext 2,,"<a href=""http://www.camh.ca"" target=""_blank"">www.camh.ca</a>",Women 18 years and older with moderate to severe alcohol and/or substance dependence and mild to moderate mental health challenges,"Addiction and concurrent disorder treatment services * 3 phase program -- support and stabilization group, intensive programming and continuing care group",No referral necessary but assessment required -- call Access CAMH,English ; Access to trained interpreters available for French and other languages,Designated parking at entrance ; Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall,Mon-Fri 9 am-5 pm,(50) Non Profit ; (51) Registered Charity,2015-04-20T04:00:00,20232089,,,,,60 White Squirrel Way,former Toronto,M6J 1H4,"{u'type': u'Point', u'coordinates': (-79.4211704645, 43.6430804988)}"
36,1306,Yonge Street Mission,"381 Yonge St, Toronto, ON     M5B 1S1","Church-Yonge Corridor, 75",416-929-9614 ext 2238,healthcentre@ysm.ca,"<a href=""http://www.ysm.ca"" target=""_blank"">www.ysm.ca</a>","Street involved and homeless youth only * 24 years and under (no minimum age) * also children, infants of street youth","Health services including primary medical care and dental care, check ups, lab tests, including HIV testing * birth control, pregnancy tests, immunization, prenatal care, perinatal services, prenatal and parenting classes * dental care * optometry, eye glasses * chiropractor * nutritionist * physiotherapist * psychiatrist * addictions counselling * traditional Chinese medicine * foot care, socks and shoes * health education * counselling on health issues * referrals * ID replacement * access to diapers, formula, baby food * no Ontario Health Insurance or identification required * child care available","Walk in only, no appointments",English,"Wheelchair accessible main entrance and ground floor, assistance needed with door ; Barrier-free washroom",Health Centre -- Mon-Fri 1 pm-4:30 pm * office -- Mon-Fri 9 am-5 pm,(50) Non Profit ; (51) Registered Charity,2014-08-15T04:00:00,7730095,,,,,381 Yonge St,former Toronto,M5B 1S1,"{u'type': u'Point', u'coordinates': (-79.3815692219, 43.6587484653)}"
37,1307,Society of St Vincent de Paul,"88 Mulock Ave, Toronto, ON     M6N 3C6","Junction Area, 90",416-762-4195,ozanam.svdptoronto@bellnet.ca,"<a href=""http://www.svdptoronto.org"" target=""_blank"">www.svdptoronto.org</a>",Men 18 years and older,11 bed pre-treatment and post-detoxification transition house * average stay 3 weeks,Referral from detoxification centres,English,Not Accessible,,(50) Non Profit ; (51) Registered Charity,2015-01-08T05:00:00,8292463,,,,,88 Mulock Ave,former Toronto,M6N 3C6,"{u'type': u'Point', u'coordinates': (-79.4655348396, 43.670059883)}"
38,1308,St Michael's Hospital,"410 Sherbourne St, 4th Fl, Toronto, ON     M4X 1K2","Cabbagetown-South St James Town, 71",Registered patients 416-867-3728 ; New patients intake 416-864-3076,,"<a href=""http://www.stmichaelshospital.com"" target=""_blank"">www.stmichaelshospital.com</a>",,General family medicine * nursing * social work * HIV care * prenatal and postnatal care * family practice-based obstetrics * addictions * diet and nutrition * pharmacist,By appointment,English ; Interpretive services,Wheelchair accessible building including main entrance and barrier free washrooms,"Mon-Tue, Thu-Fri 9 am-4 pm; Wed 9 am-8 pm; Sat 9 am-3 pm * doctor on call 24 hours",(50) Non Profit,2015-09-24T04:00:00,10923472,,,,,410 Sherbourne St,former Toronto,M4X 1K2,"{u'type': u'Point', u'coordinates': (-79.374195226, 43.664716354)}"
39,1309,"University Health Network, Toronto Western Hospital","892 Dundas St W, Toronto, ON     M6J 1W1","Trinity-Bellwoods, 81",,,"<a href=""http://www.uhn.ca"" target=""_blank"">www.uhn.ca</a>",Women 16 years and older * under 16 years with parental consent,"Alcohol and drug detoxification * residential, day and community withdrawal management * case management * assessment and referral<br><br>

Continuing Care Group -- Friday 5 pm-7 pm<br><br>

Day program -- Monday-Friday 10 am-3 pm at Adelaide Resource Centre for Women, 67 Adelaide St E, 416-392-9281",Call Central Access 1-866-366-9513,English ; staff may speak other languages,Partially wheelchair accessible * street parking close to entrance,Residential program Mon-Sun 24 hours,(50) Non Profit ; (51) Registered Charity,2014-09-29T04:00:00,6522738,,,,,892 Dundas St W,former Toronto,M6J 1W1,"{u'type': u'Point', u'coordinates': (-79.4122370065, 43.65126219)}"
40,1311,Warden Woods Community Centre,"63 Mack Ave, Toronto, ON     M1L 1M5","Oakridge, 121",416-694-1138 ext 138,,"<a href=""http://www.wardenwoods.com"" target=""_blank"">www.wardenwoods.com</a>","Seniors, adults with disabilities, and caregivers * HIV/AIDS Education and IDU Outreach -- youth and newcomers","<b>Caregiver Support</b> -- call Melese Woldemariam ext 156 * for anyone providing ongoing care to an aging family member, friend, spouse or neighbour * support and education * links to community resources * advocacy * individual and group counselling <br><br> 

<b>Client Intervention and Assistance</b> -- call Colleen Phillips ext 136 * for adults 55 years and older, adults 18 years and older with physical disabilities * community case management for persons considered to be at risk in their homes * intake and psychosocial assessments * information and referral * crisis intervention * counselling * service coordination * ongoing monitoring<br><br> 

<b>Elderly Persons Centre</b> -- call Celia McDougall ext 129 * recreation programs including Wednesday Friendship Club, Friday Folk for developmentally delayed adults, IRIE group (Intergenerational Health Information and Education) for West Indian senior women * trips * ceramics * health programs include foot care, blood pressure and hearing clinics, touch therapy, Tai Chi * <b>Adult Day Service</b> -- Monday-Tuesday, Thursday 9 am-4 pm * integrated program for frail adults and persons with Alzheimer Disease and related dementia * recreation in small group setting * meals and snacks * transportation available<br><br>

<b>HIV/AIDS Education and IDU Outreach</b> -- call Solomon Barney ext 143 * prevention and education workshops or one-on-one outreach * harm reduction outreach, support, education and counselling to reduce HIV transmission among intravenous drug users<br><br>

<b>Home Support Services</b> -- call Andrea Watson ext 138 * congregate dining * grocery shopping * home help including light housekeeping and meal preparation * snow removal * security checks * medication reminders<br><br>

<b>Meals on Wheels</b> -- call Asha Raghavan ext 139, Monday- Friday 11:30 am-12:30 pm * hot meals delivered to seniors, disabled persons, persons with illness and persons recovering from medical procedures * includes hot, frozen, South Asian and Chinese meals * Good Food Box distribution -- see separate entry Food Share<br><br>

<b>Transportation</b> -- call Simone ext 134, Monday-Friday 8 am-5 pm * rides to medical and other appointments, shopping, Adult Day Service,  Warden Woods Community Centre",Call for information,English,Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall,Mon-Fri 9 am-5 pm * some evening programs,(50) Non Profit ; (51) Registered Charity,2015-02-26T05:00:00,2364323,,,,,63 Mack Ave,Scarborough,M1L 1M5,"{u'type': u'Point', u'coordinates': (-79.2699403956, 43.7002020443)}"
41,1312,St Michael's Hospital,"St Michael's Health Centre, 61 Queen St E, 3rd Fl, Toronto, ON     M5C 2T2","Church-Yonge Corridor, 75",Registered patients North Team 416-867-7426 ; Registered patients South Team 416-867-7428 ; New patients intake 416-864-3076,,"<a href=""http://www.stmichaelshospital.com"" target=""_blank"">www.stmichaelshospital.com</a>",,General family medicine * nursing * social work * HIV care * prenatal and postnatal care * family practice-based obstetrics * addictions * diet and nutrition * pharmacist,By appointment,English ; Interpretive services,Wheelchair accessible building including main entrance and barrier free washrooms,Mon-Fri 8:30 am-4:30 pm * doctor on call 24 hours,(50) Non Profit,2015-09-24T04:00:00,855392,,,,,61 Queen St E,former Toronto,M5C 2T2,"{u'type': u'Point', u'coordinates': (-79.3762847587, 43.6528173865)}"
42,1313,Society of St Vincent de Paul,"240 Church St, Toronto, ON     M5B 1Z2","Church-Yonge Corridor, 75",416-364-5577 ext 225,kim.vphomes@ssvptoronto.ca,"<a href=""http://www.svdptoronto.org"" target=""_blank"">www.svdptoronto.org</a>",Men and women recovering from alcohol or drug addiction,13 supportive community homes * total capacity 83,Usually by referral from a treatment facility,English,Not Accessible,,(50) Non Profit ; (51) Registered Charity,2015-01-08T05:00:00,783023,,,,,240 Church St,former Toronto,M5B 1Z2,"{u'type': u'Point', u'coordinates': (-79.3772216504, 43.655818755)}"
43,1314,Canadian Centre for Women's Education and Development,"2296 Eglinton Ave E, Unit 4, Toronto, ON     M1K 2M2","Ionview, 125",416-285-6881,ccfw@bellnet.ca,"<a href=""http://"" target=""_blank""></a>","Low income women (including senior women), children and youth * focus on immigrant women and children","Case management * counselling for abused women and children * court accompaniment * support for young women with addictions * drop-in for newcomers (youth, women, seniors) * educational workshops * family and individual counselling * form filling including applications for subsidized housing * information and referral * mentoring for young women * outreach including young women and women with disabilities * seniors activities * youth programs * volunteer opportunities",,English ; Arabic ; Gujarati ; Hindi ; Punjabi ; Tamil ; Urdu,Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall ; Elevator with lowered control panel ; Designated parking,Mon-Fri 9 am-5 pm,(50) Non Profit ; (51) Registered Charity,2015-01-19T05:00:00,9086312,,,,,2296 Eglinton Ave E,Scarborough,M1K 2M2,"{u'type': u'Point', u'coordinates': (-79.2757587349, 43.7309175536)}"
44,1315,Centre for Addiction and Mental Health,"The Carlos Fidani Family Building, 60 White Squirrel Way, 4th Fl, Toronto, ON     M6J 1H4","Niagara, 82",Access CAMH (Intake Assessment) 416-535-8501 ext 2,,"<a href=""http://www.camh.ca"" target=""_blank"">www.camh.ca</a>",Individuals 18 years and older with alcohol and drug addiction problems,"Addiction assessment and treatment including day and residential programs * psychoeducation and relapse prevention<br> <br> 

<b>Brief Treatment Service</b> -- group or individual intervention to help people abstain or moderate their substance use to non-harmful levels * relapse prevention * nutritional counselling * stress management training * consultation</b><br><br>

<b>Family Service</b> -- treatment and support for anyone concerned with the substance use of someone else, who may or may not be in treatment at CAMH * individual and group formats * education and consultation * family and couple counselling available to CAMH clients and their families",No referral necessary but assessment required -- call Access CAMH * existing clients call 416-535-8501 ext 34430,English ; Access to trained interpreters available for French and other languages,Designated parking at entrance ; Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall,Mon-Fri 9 am-5 pm,(50) Non Profit ; (51) Registered Charity,2015-04-16T04:00:00,20232089,,,,,60 White Squirrel Way,former Toronto,M6J 1H4,"{u'type': u'Point', u'coordinates': (-79.4211704645, 43.6430804988)}"
45,1316,Centre for Addiction and Mental Health,"Bell Gateway Building, 100 Stokes St, 3rd Fl, Toronto, ON     M6J 1H4","Niagara, 82",Access CAMH (Intake Assessment) 416-535-8501 ext 2 ; Inquiries 416-535-8501 ext 36019,,"<a href=""http://www.camh.ca"" target=""_blank"">www.camh.ca</a>",,"Pharmacotherapy for substance dependence including alcohol, opioid and benzodiazepines * medical assessment * maintenance therapies (methadone and buprenorphine) * concomitant pain and addiction treatment * alcohol use relapse prevention medications * counselling and group therapy * urine drug testing * resource room -- food and housing support, employment support and skills groups * education and training for health professionals and students<br> <br> 

<b>Medical Ambulatory Withdrawal Management</b> -- outpatient alcohol and drug detoxification for individuals 18 years and older * also referrals for those requiring inpatient detoxification",No referral necessary but assessment required -- call Access CAMH,English ; Access to trained interpreters available for French and other languages,Designated parking at entrance ; Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall,Mon-Fri 8 am-4 pm,(50) Non Profit ; (51) Registered Charity,2015-04-20T04:00:00,30024467,,,,,100 Stokes St,former Toronto,M6J 1H4,"{u'type': u'Point', u'coordinates': (-79.4192234961, 43.6433145436)}"
46,1317,Centre for Addiction and Mental Health,"The Carlos Fidani Family Building, 60 White Squirrel Way, 3rd Fl, Toronto, ON     M6J 1H4","Niagara, 82",Access CAMH (Intake Assessment) 416-535-8501 ext 2,,"<a href=""http://www.camh.ca"" target=""_blank"">www.camh.ca</a>",Individuals age 18 and older who primarily use cocaine,"Outpatient treatment and aftercare * preparatory, day treatment and continuing care support includes goal planning, relapse prevention and psycho-education group sessions * community integration support includes weekly group counselling for one year post treatment * holistic, harm reduction approach<br><br> 

Provides treatment services to <b>Toronto Drug Treatment Court (DTC)</b> at 100 Stokes St, 3rd Fl -- see separate entry",No referral necessary but assessment required -- call Access CAMH,English ; Access to trained interpreters available for French and other languages,Designated parking at entrance ; Wheelchair accessible automatic main entrance ; Easy access to elevator ; Barrier-free washroom including door and stall,Mon-Fri 9 am-5 pm,(50) Non Profit ; (51) Registered Charity,2015-02-26T05:00:00,20232089,,,,,60 White Squirrel Way,former Toronto,M6J 1H4,"{u'type': u'Point', u'coordinates': (-79.4211704645, 43.6430804988)}"
47,1318,Centre for Addiction and Mental Health,"The Carlos Fidani Family Building, 60 White Squirrel Way, 3rd Fl, Toronto, ON     M6J 1H4","Niagara, 82",416-535-8501 ext 36071,,"<a href=""http://www.camh.ca"" target=""_blank"">www.camh.ca</a>","Persons requiring inpatient setting and medical support to manage withdrawal symptoms * focus on patients with severe withdrawal symptoms, including seizures and hallucinations",Inpatient alcohol and substance withdrawal management,Call for information * no referral necessary * telephone assessment/screening required prior to admission,English ; Access to trained interpreters available for French and other languages,Designated parking at entrance ; Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall,Admission -- Mon-Fri 8 am-12 noon * no admissions on weekends or public holidays * withdrawal services -- Mon-Sun 24 hours,(50) Non Profit ; (51) Registered Charity,2015-02-25T05:00:00,20232089,,,,,60 White Squirrel Way,former Toronto,M6J 1H4,"{u'type': u'Point', u'coordinates': (-79.4211704645, 43.6430804988)}"
48,1319,Centre for Addiction and Mental Health,"Intergenerational Wellness Centre, 80 Workman Way, Toronto, ON     M6J 1H4","Niagara, 82",416-535-8501 ext 4366,,"<a href=""http://www.camh.ca"" target=""_blank"">www.camh.ca</a>","Most programs -- children and youth up to 17 years, with emotional, behavioural, psychological or psychiatric problems, and their families * specific eligibility for some programs -- call for details","Assessments, treatment and referrals * treatment recommendations and consultation, including services for those involved with Youth Criminal Justice Act * outreach, prevention and education<br>
<br>
<b>Better Behaviours Service (BBS)</b> -- assessment and treatment for children with behaviour problems, including aggression, social skills difficulties, diminished academic performance and non-compliance * must not have developmental delay, serious medical illness or psychotic disorder * parent programs * individual, group and day treatment programs -- call for eligibility and referral details<br>
<br>
<b>Mood and Anxiety Disorders Service</b> -- assessment, treatment recommendations and short-term treatment * referral required<br>
<br> 
<b>Psychotic Disorders</b> -- assessment and consultation for children and youth with a referral diagnosis of a psychotic disorder or symptoms of psychosis * referral required<br>
<br>
<b>Substance Abuse Program for African Canadian and Caribbean Youth (SAPACCY)</b> -- early intervention and prevention services for Black youth, including individual and group counselling and family support * no referral required<br>
<br>
<b>Toronto Arson Prevention Program for Children (TAPP-C), www.tapp-c.com</b> -- assessment and intervention for children and youth to reduce intentional fire setting or match/lighter play * programs for parents/caregivers * referral required<br>
<br>
<b>Youth Addiction and Concurrent Disorders Service</b> -- assessment and treatment for youth and young adults with substance use challenges, with or without concurrent mental health concerns, and their families * harm reduction and individualized approach * individual and group counselling * case management","Referral required for most programs -- call for details * Child, Youth and Family Referral Form available online * Gender Identity Services not accepting new referrals as current clinic is closing",English ; Access to trained interpreters available for French and other languages,Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall,Mon-Fri 9 am-5 pm * individual program hours may vary,(50) Non Profit ; (51) Registered Charity,2013-02-06T05:00:00,30024232,,,,,80 Workman Way,former Toronto,M6J 1H4,"{u'type': u'Point', u'coordinates': (-79.4174308046, 43.643623099)}"
49,1320,Toronto. Hostel Services,"1651 Sheppard Ave W, Toronto, ON     M3M 2X4","Glenfield-Jane Heights, 25",Shift Leader 416-392-5452 ; Intake 416-392-5447,,"<a href=""http://www.toronto.ca/housing/index.htm"" target=""_blank"">www.toronto.ca/housing/index.htm</a>",Men 18 years and older with a history of using the hostel system,"Substance abuse recovery program, up to 6 months stay * case management * out patient component * community follow up * aftercare * recreation programs * capacity 30",Primarily by referral through Seaton House * some referrals through detoxification centres,"English ; French ; Intake -- English, French * other languages may be available",Not Accessible,Mon-Sun 24 hours,(20) Regional Government,2016-01-05T05:00:00,20049686,,,,,1651 Sheppard Ave W,North York,M3M 2X4,"{u'type': u'Point', u'coordinates': (-79.4963792193, 43.7420704008)}"
50,1321,St Joseph's Health Centre,"30 The Queensway, Toronto, ON     M6R 1B5","High Park-Swansea, 87",,,"<a href=""http://www.stjoe.on.ca"" target=""_blank"">www.stjoe.on.ca</a>",Men and women 16 years and older,"Non-medical day, community and residential alcohol and drug withdrawal management * capacity 26 * 10 crisis beds (3 female, 7 male), 16 program beds (4 female, 12 male) * no smoking * continuing care * family program * assessment and referral * counselling * life skills coaching * smoking cessation program * acupuncture",Residential program -- call 1-866-366-9513 Central Access * day and community programs -- self referral or call Central Access,English,Wheelchair accessible building including main entrance and barrier free washrooms * designated parking on street and in parking garage,Mon-Sun 24 hours,(50) Non Profit,2016-02-16T05:00:00,10757635,,,,,30 The Queensway,former Toronto,M6R 1B5,"{u'type': u'Point', u'coordinates': (-79.4500977452, 43.6393499097)}"
